									事业部-SoldItem周报																						
1463378387	186266241	Y	2014/8/22	New Red Carpet Miss Nigeria Gorgeous Green Lace Celebrity Dresses Long Sleeves Trumpet Mermaid Evening Formal Gowns	0	0	0	Y	ff80808142554eaa0142791a188a1e48	newdesignbridal	N	N	ff80808147a0685c0147d8d90b634e7f	ingnao	Y	bm|00 DHgate e PS AW|23678861952|paid_search|adwords|www dhgate com|00 DHgate PS AW|HC|c|Exact|	End Consumer	Others	NO	002	002009	002009001	002009001	Evening Dresses	bm|00 DHgate e PS AW|23678861952|paid_search|adwords|www dhgate com|00 DHgate PS AW|HC|c|Exact|	168.19	1	1	168.19	168.19	168.19	
1463378559	196041779	N	2014/8/22	1 jacket	0	0	1	Y	ff80808124e7bdbe0124e83e679f195a	wholesalers888	N	N	ff8080814758942701475959fdcd0eab	shadowhillsindustries	N	seo|||organic|google||www	End Consumer	Others	US	002	002007	002007001	002007001	Groom Tuxedos	bm|00 DHgate e PS AW|23678861952|paid_search|adwords|dh.gate|00 DHgate PS AW|HC|c|Exact|	65	1	1	65	65	65	
1463378686	182362401	Y	2014/8/22	Flower girls Spaghetti crystal diamond sash Organza Ruffles party Floor length formal occasion ball gown girl pageant dresses Kis 1891	0	0	0	N	ff80808143afbd810144106063102867	lushop	N	N	ff808081406dc6e8014070a488386d54	vincenza0413	N		End Consumer	Others	US	002	002114	002114001	002114001	Flower Girls' Dresses	bm|00 DHgate e PS MAC|3083680857|paid_search|adcenter|dhgate com|00 DHgate PS MAC|bing||00|	115.27	1	1	88	88	115.27	
1463378810	191102667	N	2014/8/22	Modest Cheap A-line Different Styles Floor Length Maid Of Honor Skin Pink Chiffon Prom Party Gowns 2014 Beach Bridesmaid Dresses DL1311197	0	0	1	Y	ff80808145112c1e01453aa65366334f	bridalmuse	N	N	ff808081429ec0010142bff2667715f7	laceyl	N	seo|||organic|yahoo|infant shoes wholesale|www	Reseller	银牌	US	002	002113	002113002	002113002	Bridesmaid Dress		62.5	1	1	62.5	62.5	62.5	
1463378837	159268751	N	2014/8/23	In Stock No Risking Wedding Accessories pearls Floral Party Prom Hand bags Bridal Hand Bags BH12	0	0	1	Y	ff808081377da51f0137922a10975f7a	promtime	N	N	ff80808147e885700147f9598b12036c	alessandra bianca	Y		End Consumer	Others	US	002	002008	002008008	002008008	Bridal Hand Bags		23.87	1	1	23.87	23.87	23.87	
1463379046	192388333	N	2014/8/22	Amelia Sposa 2014 Backless Wedding Dresses Mermaid Sheer Crew Neck Sleeveless Chapel Train Lace Bridal Gown	0	0	1	N	ff808081444e6037014492cf5ee25c67	dresstop	N	N	ff80808147e885700147f960a7de0424	kayabadi	Y	bm|00 DHgate e PS AW|23678861952|paid_search|adwords|hdgate|00 DHgate PS AW|HC|c|Exact|	End Consumer	Others	AE	002	002001	002001004	002001004	Mermaid Wedding Dresses	bm|00 DHgate e PS AW|23678861952|paid_search|adwords|hdgate|00 DHgate PS AW|HC|c|Exact|	251.25	1	1	215.91	215.91	251.25	
1463379051	191561603	N	2014/8/22	Good Looking Grace Karin One shoulder Short Organza Ball Cocktail Dresses A-Line Crystal Ruched Prom Party Dress White/Purple/Blue CL4589	0	0	1	N	ff808081405d71960140a92fc7856099	beautifulseason	N	N	ff80808147e819bf0147f960c59f0584	Savvi	Y	seo|||organic|google|	End Consumer	Others	US	002	002009	002009006	002009006	Homecoming Dresses	seo|||organic|google|	35.4	1	1	21.96	21.96	35.4	
1463379080	201982008	N	2014/8/22	In Stock!! 2014 Free Shipping Fashion Bridal Tiaras Wedding Hair Jewelry Pearls Crystals Bridal Accessories	0	0	1	Y	ff80808147102daf014756c302fc60e1	find_my_dress	N	N	ff8080814343149c014354baf1406244	hiteshri	N	seo|||brand|google|dhgate |www	End Consumer	Others	US	002	002008	002008003	002008003	Tiaras & Hair Accessories	bm|aff|cj|2210202|www	2.28	1	1	2.28	2.28	2.28	
1463379176	194701945	Y	2014/8/22	2015 Full Ruffles Flowers Crystals Ball Gown Wedding Dresses Sweetheart Sexy Backless Court Train Pleated Taffeta Tulle Bridal Gowns AC186	0	0	1	Y	ff8080811f4301cf011f443f161d5407	hot-wind	N	N	ff80808147e819d20147f9130423000a	monicagomez88	Y	seo|||organic|google||www	End Consumer	Others	US	002	002001	002001002	002001002	Ball Gown Wedding Dresses	seo|||organic|google||www	301.58	1	1	301.58	301.58	301.58	
1463379210	191102667	N	2014/8/22	Modest Cheap A-line Different Styles Floor Length Maid Of Honor Skin Pink Chiffon Prom Party Gowns 2014 Beach Bridesmaid Dresses DL1311197	0	0	1	Y	ff80808145112c1e01453aa65366334f	bridalmuse	N	N	ff808081429ec0010142bff2667715f7	laceyl	N	seo|||organic|yahoo|infant shoes wholesale|www	Reseller	银牌	US	002	002113	002113002	002113002	Bridesmaid Dress		62.5	1	1	62.5	62.5	62.5	
1463379284	197303813	N	2014/8/22	2014 Vintage Sheer Wedding Dresses Ball Gown Sweet...	0	0	1	Y	ff8080811f69ef93011f6e705426105e	factory-sale	N	N	ff8080814710e928014713514b9f2b0a	britter45874	Y		4	Others	US	002	002001	002001002	002001002	Ball Gown Wedding Dresses	seo|||organic|google|https|www	160.85	1	1	160.85	160.85	160.85	
1463379313	141092281	N	2014/8/22	12 Packs/Lot Free Shipping Wholesale Wedding Decor...	0	0	1	Y	ff80808128a9dc830128ae0897a52506	lidao_gift	N	N	ff80808147aaf84c0147e08155395501	smhitchner	Y		4	Others	US	002	002010	002010011	002010011	Flowers,Petals & Garlands		43.76	4	4	43.76	43.76	43.76	
1463379500	202630323	Y	2014/8/22	2014 TARIK EDIZ Sheer Crew Mermaid Ivory Prom Gown...	0	0	1	Y	ff80808145a842ef0145df942f9441c6	olisha	N	N	ff80808137e9e6790138073f05415ffd	jay	N	bm|002009004 Cocktail Dresses||remarketing|Criteo||110500370|DC||		Others	US	002	002009	002009001	002009001	Evening Dresses	bm%7C00%20DHgate%20e%20PS%20AW%7C25396030152%7Cpaid_search%7Cadwords%7Cdhgate%7C00%20DHgate%20PS%20AW%7CHC%7Cm%7CExact%7C|m.dhgate.com	134.8	1	1	134.8	134.8	134.8	
1463379524	192392902	Y	2014/8/22	Hot Women's Embellished Luxury Pearls Beaded Sexy ...	0	0	1	Y	ff8080813b92ccc0013bbb9b42de6a74	ziyu168	N	N	ff80808147f317e20147f97821417385	Nicolesmith2525	Y		4	Others	US	002	002009	002009004	002009004	Cocktail Dresses		15.87	1	1	15.87	15.87	15.87	
1463379572	185601656	N	2014/8/22	2014 Plus Size Lace Half Sleeve Cheap Wedding Part...	0	0	1	Y	ff8080813976a1f80139b094d0dc5094	bobbirabbit	N	N	ff80808147f315530147f96f470d7532	LandraDenean	Y		4	Others	US	002	002003	002003	002003	Mother of the Bride Dresses		123.07	1	1	123.07	123.07	123.07	
1463379598	194899346	Y	2014/8/22	2014 Elegant Hot &amp; Sexy Ready To Ship Wholesal...	0	0	0	Y	ff8080813f5c956d013f603987c90519	aijiayi	N	N	ff80808147f317e20147f98507a174d3	Danma	Y	seo|||brand|yahoo|dhgate prom dresses under $100|www	4	Others	US	002	002009	002009002	002009002	Prom Dresses	seo|||brand|yahoo|dhgate+prom+dresses+under+$100|www	99.89	1	1	99.89	99.89	99.89	
1463380010	182957757	N	2014/8/22	2014 Short Cap Sleeve Lace Dress by Dave and Johnn...	0	0	1	Y	ff80808142554ea20142df8c38653d73	alberta_dress	N	N	ff80808147f315860147f9abec3776f1	KurKir	Y	seo|||organic|google|https|www	4	Others	US	002	002009	002009002	002009002	Prom Dresses	seo|||organic|google|https|www	63.75	1	1	63.75	63.75	63.75	
1463380081	187741630	N	2014/8/22	2014 Gorgeous One Shoulder Mermaid Beaded Evening ...	0	0	1	Y	ff80808145112c1e01453aa65366334f	bridalmuse	N	N	ff80808147aaf8490147b23b558275df	suyanneboechat	N	seo|||organic|yahoo|cheap prom dresses|m.dhgate.com	4	Others	US	002	002009	002009002	002009002	Prom Dresses	seo|||organic|yahoo|cheap+prom+dresses|m.dhgate.com	90.91	1	1	90.91	90.91	90.91	
1463380098	193695396	Y	2014/8/22	2014 Hot New Styles 1 one Layers Ivory/White Weddi...	0	0	0	Y	ff808081403929c201404d9e16051443	anglebridal	N	N	ff80808143cdd75801442aef68352d76	tim0518	N			Others	IN	002	002008	002008002	002008002	Bridal Veils		3.3	1	5	3.3	3.3	3.3	
1463380160	173553392	N	2014/8/22	Anna Campbell Lace Wedding Dresses 2013 Sheer Top ...	0	0	1	Y	ff8080812766c79f012769f9950072ad	garmentfactory	N	N	ff80808147f316b70147f9ca5245799f	Pattilyn	Y	bm|00 DHgate b PS MAC|1031854311|paid_search|adcenter|dhgate.com china|00 DHgate PS MAC|bing||00||m.dhgate.com	4	Others	US	002	002001	002001005	002001005	Empire Wedding Dresses	bm%7C00%20DHgate%20b%20PS%20MAC%7C1031854311%7Cpaid_search%7Cadcenter%7Cdhgate.com%20china%7C00%20DHgate%20PS%20MAC%7Cbing%7C%7C00%7C|m.dhgate.com	199.99	1	1	199.99	199.99	199.99	
1463380336	203247155	Y	2014/8/22	Custom made 2014 New Design Groom Tuxedos Best man Wedding Groomsman Suit Groomsman Black ivory Bridegroom Suits (Jacket+Pants+Tie+Vest)	0	0	1	Y	ff80808142554eaa0142738937c916b2	bridelee	N	N	ff80808147a151490147ad6785922370	tonyaligba	N		End Consumer	Others	IT	002	002007	002007001	002007001	Groom Tuxedos		220	2	2	220	220	220	
1463380509	174843121	N	2014/8/22	Free shipping!High quality nude back chiffon lace long peach color bridesmaid dress brides maid dress BD111	0	0	0	Y	ff808081317fca600131ac285b380c0d	joseph_wedding	N	N	ff80808147a0684f0147a398ca8f518e	grayz93	Y		End Consumer	Others	CA	002	002113	002113002	002113002	Bridesmaid Dress		90.91	1	1	90.91	90.91	90.91	
1463380592	180779643	N	2014/8/22	2014 New Arrival In Stock A-Line Wedding Dresses Bridal Gown With Sweetheart Lace-up Back Sequins Appliques Beading Draped Sweep Train SW028	0	0	1	N	ff8080812e7a9144012e9874a3622520	toprated	N	N	ff80808147e886960147f97269d27dbb	marta rosana dos santos	Y	bm|00 DHgate e PS AW|39043431912|paid_search|adwords|dhgate.com.|00 DHgate PS AW|HC|c|Exact|	Purchase for company	Others	BR	002	002001	002001001	002001001	A-Line Wedding Dresses	bm|00 DHgate e PS AW|39043431912|paid_search|adwords|dhgate.com.|00 DHgate PS AW|HC|c|Exact|	117.63	1	1	94.9	94.9	117.63	
1463380726	204637564	Y	2014/8/22	WW Fast Delivery Wedding Cheap A-Line Petticoat White Underskirt Bridal Crinoline Custom Made In Stock Free Shipping Party/Evening Gowns	0	0	1	N	ff808081467f626f014683b2937d054b	morieebridal	N	N	ff808081406dc6e8014070a488386d54	vincenza0413	N		End Consumer	Others	US	002	002008	002008004	002008004	Petticoats	bm|00 DHgate e PS MAC|3083680857|paid_search|adcenter|dhgate com|00 DHgate PS MAC|bing||00|	40.47	2	2	17.74	17.74	40.47	
1463380740	179077874	Y	2014/8/22	2014 Sxy Sheath One Shoulder Sleeveless Embellished With Beaded Applique Sweep Train Dark Green Elie Saab Tulle Prom Dresses Dhyz 01	0	0	1	Y	ff8080811f457a96011f45acb52d369c	hua_yi_zhang	N	N	ff80808147e886830147ef72332821d0	Alexandra130	Y	bm|179077874|002009-SpecialOccasionDresses|GMC|Adwords|pla|hua_yi_zhang|US|002009001-EveningDresses|c||0HRF||www	End Consumer	Others	US	002	002009	002009001	002009001	Evening Dresses	bm|179077874|002009-SpecialOccasionDresses|GMC|Adwords|pla|hua_yi_zhang|US|002009001-EveningDresses|c||0HRF||www	342	1	1	342	342	342	
1463380946	197614867	N	2014/8/22	2014 New Fashion Homecoming Dresses Sexy Deep V Neck Mini Chiffon Short Crystal Bodice Short Prom Dress Party Cocktail Dresses 0702B	0	0	1	N	ff8080813a736b7b013a87fe1a9b221e	laferdresses	N	N	ff80808147e8867e0147f97eef577b56	kgrace66	Y	bm|00 DHgate e PS MAC|3083680857|paid_search|adcenter|dhgate|00 DHgate PS MAC|bing||00|	End Consumer	Others	US	002	002009	002009006	002009006	Homecoming Dresses	bm|00 DHgate e PS MAC|3083680857|paid_search|adcenter|dhgate|00 DHgate PS MAC|bing||00|	130.65	1	1	106.5	106.5	130.65	
1463380985	187460582	N	2014/8/22	New Mother of the bride pant suits Hot Sale Elegant Chiffon pleat long Sleeves Sequins Mother Of the Bride	0	0	1	Y	ff8080811e00fc9b011e11cf7c88087b	aliza327	N	N	ff80808147a068530147a2a6d1de35eb	ppaint	N	bm|181547109|002003-MotheroftheBrideDresses|GMC|Adwords|dyn|yoyobridal|US|002003-MotheroftheBrideDresses|c|OSHNBH|2HRF||www	End Consumer	Others	US	002	002003	002003	002003	Mother of the Bride Dresses	bm|002003 Mother of the Bride Dresses||remarketing|Criteo||187460582|DC|||www	130.69	1	1	130.69	130.69	130.69	
1463381009	184667900	Y	2014/8/22	2014 New Stunning Custom Made Free Shipping Crystal &amp; Bugle Beaded Wedding Sash Bridal Belt	0	0	1	Y	ff8080813fe66e820140051e683f2455	enjoyprom	N	N	ff80808147e8867a0147f98415c80474	Emblueeyes	Y	bm|aff|cj|2203897	End Consumer	Others	US	002	002008	002008014	002008014	Bridal Sashes & Belts	bm|aff|cj|2203897	41.94	1	1	41.94	41.94	41.94	
1463381057	161958110	Y	2014/8/22	Girls' Ivory Wedding Bridesmaid Crystals Crown Veil Hair Accessories Girls' Formal Occasion Head Pieces B0127	0	0	1	Y	ff808081353bfbd401355ada9b4a042a	star_baby	N	N	ff8080814087b5f90140e145670d01a5	nenafahad	N	seo|||organic|google|https|ar	4	银牌	SA	002	002114	002114004	002114004010	Girls' Head Pieces	bm|00 DHgate e PS AW|25396030152|paid_search|adwords|dhgate|00 DHgate PS AW|HC|m|Exact||m.dhgate.com	71.6	1	10	71.6	71.6	71.6	
1463381058	197762630	N	2014/8/22	2014 Fashion Bridal Wedding Tiaras Stunning Fine Comb Bridal Jewelry Accessories Crystal Pearl Hair Brush [JH02052*1]	0	0	1	Y	ff808081316548ce01317a59475d450e	myjewelry	N	N	ff80808147e886830147f8a050fd6680	ambar taina	Y	bm|00 DHgate e PS AW|23678861952|paid_search|adwords|dhgate|00 DHgate PS AW|HC|c|Exact|	End Consumer	Others	US	002	002008	002008003	002008003	Tiaras & Hair Accessories	seo|||organic|google||www	5.81	1	1	5.81	5.81	5.81	
1463381059	172732321	N	2014/8/22	2014 New Collection Mermaid Lace Ivory Wedding Dress Bridal Gown With Lace Jacket Sweet-heart Court Train Buttons	0	0	1	Y	ff8080812e7a9144012e9874a3622520	toprated	N	N	ff80808147e886830147f8a050fd6680	ambar taina	Y	bm|00 DHgate e PS AW|23678861952|paid_search|adwords|dhgate|00 DHgate PS AW|HC|c|Exact|	End Consumer	Others	US	002	002001	002001004	002001004	Mermaid Wedding Dresses	seo|||organic|google||www	167	1	1	167	167	167	
1463381060	168718550	N	2014/8/22	Hot Sale New Arrival 2013 Fashion Wedding Dress Bags White and Pink Wedding Accessory TU 565	0	0	1	Y	ff8080813976aa640139adf311244dec	sweetdresses	N	N	ff80808147e886830147f8a050fd6680	ambar taina	Y	bm|00 DHgate e PS AW|23678861952|paid_search|adwords|dhgate|00 DHgate PS AW|HC|c|Exact|	End Consumer	Others	US	002	002008	002008012	002008012	Other Bridal Accessories	seo|||organic|google||www	2.5	1	1	2.5	2.5	2.5	
1463381353	197797044	Y	2014/8/22	Hot Selling !New Arrival High Quality Hand Made Fashionable Princess Sweetheart Ball Gown Quinceanera Dresses Prom Dresses Custom Made No051	0	0	1	Y	ff808081412abc800141594cabe239af	ebelz	N	N	ff80808147a0685c0147bbbdbad656ee	Chloe.e.jones	N	bm|00 DHgate e PS AW|23678861952|paid_search|adwords|dhgate|00 DHgate PS AW|HC|c|Exact|	End Consumer	Others	UK	002	002009	002009008	002009008	Quinceanera Dresses	bm|00 DHgate e PS AW|23678861952|paid_search|adwords|dh.gate|00 DHgate PS AW|HC|c|Exact|	147.73	1	1	147.73	147.73	147.73	
1463381500	134465350	N	2014/8/22	Elegant A Line V Neck 3/4 Sleeve Floor Lenth Taffeta Purple Lace Mother of The Bride Dresses Prom Dress Formal Gowns	0	0	1	Y	ff8080812d3be05e012d3be505be032c	masonbridal	N	N	ff80808132b840e60132f604d34d400d	tiffany32280	N	bm|00 China Wholesale US m PS AW|6335451508|paid_search|adwords| china  wholesale|00 China Wholesale US PS AW|HC|Modifier|	Reseller	银牌	US	002	002003	002003	002003	Mother of the Bride Dresses	bm|00 DHgate e PS AW|23678861952|paid_search|adwords|dhgate|00 DHgate PS AW|HC|c|Exact|	159.1	1	1	159.1	159.1	159.1	
1463381551	182825452	N	2014/8/22	Free Shipping 2014 Sweetheart Newest Popular Handmade Beading Organza Ball Gown Bridal Wedding Dresses	0	0	1	Y	ff8080813bdf3463013bef4c673f61fb	weddingpalace	N	N	ff808081390af60a0139171abf5c46fa	cecilia_uruguay	N	bm|00 Keywords Test Buy m PS AW|17263819751|paid_search|adwords| comprar  vestidos  de  novia|00 Keywords Test Buy PS AW|ZDA|Modifier|00|	Reseller	铜牌	UY	002	002001	002001002	002001002	Ball Gown Wedding Dresses		136.77	1	1	136.77	136.77	136.77	
1463381669	201496297	Y	2014/8/22	2015 New Fashion Ombre A-Line Sweetheart Sleeveless Beaded Chiffon Formal Prom Gown Free Shipping Evening Dress	0	0	1	Y	ff808081467f626f0146849826cf0748	lovestory3	N	N	ff80808147e885700147f9989e860992	scrappy coco	Y		End Consumer	Others	US	002	002009	002009002	002009002	Prom Dresses		62.79	1	1	62.79	62.79	62.79	
1463381691	117443737	N	2014/8/22	Gorgeous Alloy with Clear Crystals Bridal Bracelets, Wholesale Bridal Jewelry Wedding Accessories	0	0	0	Y	ff80808122d41daa0122d4c1f9314852	yogo	N	N	ff808081407be15201408335f3831c35	Simja	N	seo|||brand|google|DHgate|m.dhgate.com	End Consumer	Others	NG	002	002008	002008013	002008013	Bridal Jewelry	seo|||brand|bing|dhgate	14.11	1	12	14.11	14.11	14.11	
1463381692	171280907	N	2014/8/22	2014 New Style High Neck Mermaid Wedding Dresses Bridal Gowns Dresses for Chapel Wedding Bride Vintage Lace Court Train Charming Cheap Satin	0	0	1	N	ff8080812eb8a311012ebd3401d041eb	sweet-life	N	N	ff808081407be15201408335f3831c35	Simja	N	seo|||brand|google|DHgate|m.dhgate.com	End Consumer	Others	NG	002	002001	002001004	002001004	Mermaid Wedding Dresses	seo|||brand|bing|dhgate	191.48	1	1	168	168	191.48	
1463381693	193235151	N	2014/8/22	1 layer New White or Ivory Bridal Bridesmaid Wedding dress Accessories Veil	0	0	1	N	ff8080813e0d3b00013e10799fb3144f	jianchi7799	N	N	ff808081407be15201408335f3831c35	Simja	N	seo|||brand|google|DHgate|m.dhgate.com	End Consumer	Others	NG	002	002008	002008002	002008002	Bridal Veils	seo|||brand|bing|dhgate	11.06	1	1	1.71	1.71	11.06	
1463381936	186106964	N	2014/8/22	design formal long ball 2014 maternity evening gown modest dress with crystals chiffon for pregnant women womens empire waist dresses W465	0	0	1	N	ff80808143afbe2301440b284e0e23a7	orient2013	N	N	ff80808147e886930147f9a2e42806b8	sal2603	Y	bm|002009000000 Evening Dress PS AW|33956746375|paid_search|adwords|dresses evening|002009000000 Special Occasion Dresses PS AW|ZDI|c|b|002009000000||www	End Consumer	Others	US	002	002009	002009001	002009001	Evening Dresses	bm|002009000000 Evening Dress PS AW|33956746375|paid_search|adwords|dresses evening|002009000000 Special Occasion Dresses PS AW|ZDI|c|b|002009000000||www	175.82	1	1	125	125	175.82	
1463382047	177123023	N	2014/8/22	vestido de dama de honra New Backless Wedding Party Dress Chiffon Pretty Nude Back Lace Peach Long Evening Bridesmaid Dresses BO3384	0	0	1	Y	ff8080811f457b8c011f56709bc04543	babyonline	N	N	ff80808147e818cc0147f9a7b77d1976	Lauren3892	Y		End Consumer	Others	US	002	002113	002113002	002113002	Bridesmaid Dress		79.9	1	1	79.9	79.9	79.9	
1463382254	182852028	N	2014/8/22	Sheer 2014 Beach Lace V-neck Ivory Long Sleeve Knee Length Short Bridal Wedding Dresses Gowns Cheap #24	0	0	1	N	ff8080813976a1f80139b094d0dc5094	bobbirabbit	N	N	ff80808147e819bf0147f9afa6f50e28	Margaret212	Y	seo|||organic|google||www	End Consumer	Others	US	002	002001	002001001	002001001	A-Line Wedding Dresses	seo|||organic|google||www	114.92	1	1	89.44	89.44	114.92	
1463382483	183571929	N	2014/8/22	2014 Vintage Anna Campbell Lace Bridal Gown Cap Sleeve Illusion Sheer Crew Neck Chiffon with Bow A Line Beach Wedding Dresses	0	0	0	Y	ff80808142554e140142ec04cdc358d8	jian_ping_ma	N	N	ff80808147e818cc0147f9b63c981aad	Carrmo	Y	seo|||organic|google||www	End Consumer	Others	SE	002	002001	002001001	002001001	A-Line Wedding Dresses	seo|||organic|google||www	139.78	1	1	139.78	139.78	139.78	
1463383008	201007639	Y	2014/8/22	2014 Fabulous Mermaid Evening Gown Scoop Long Sleeve Backless Pearls Pleats Crystal Ruffles Beaded Chapel Train Taffeta Evening/Prom Dresses	0	0	1	Y	ff80808137a2709e0137cb17821f3221	yoursexy_cute	N	N	ff8080813c8aa62c013d02be1ff37c1c	Zeze20	N	seo|||organic|google|najwa+karam+dresses+for+sale	End Consumer	Others	US	002	002009	002009001	002009001	Evening Dresses		189	1	1	189	189	189	
1463383092	179498458	N	2014/8/22	Best-selling Rhinestones Beaded A Line Girls' Formal Occasion Flower Girl Dresses One Shoulder Girls Pageant Dresses Custom Size	0	0	0	Y	ff80808142554eaa0142ea5d1ba0539d	loveinwedding	N	N	ff808081437768ac0143783ff8661a75	Laina5	Y	seo|||organic|google|https|www	End Consumer	Others	US	002	002114	002114002	002114002	Girl's Pageant Dresses	bm|00 DHgate e PS AW|23678861952|paid_search|adwords|dh.gate|00 DHgate PS AW|HC|c|Exact|	149	1	1	149	149	149	
1463383169	179498539	N	2014/8/22	Black Groom Tuxedos 2013 Formal Best Men's Suits Groomsman Bridegroom Wedding Dress Custom (Jacket+Pants+Girdle)	0	0	1	N	ff8080812f006b56012f01ccf27636cd	ju_feng_zhao1982	N	N	ff8080813d81b1a4013d9501443b4a41	Gannmaz	Y	seo|||organic|google|virgin+brazilian+hair|www	4	Others	US	002	002007	002007001	002007001	Groom Tuxedos		127.18	1	1	106.8	106.8	127.18	
1463383193	137998098	N	2014/8/22	Custom Made Slim Fit Groom Tuxedos Light Grey Side Slit Best Man Suit Wedding Groomsman/Men Suits Bridegroom (Jacket+Pants+Tie+Vest) G379	0	0	1	Y	ff80808124e7bdbe0124e83e679f195a	wholesalers888	N	N	ff8080813fc1dec9013fd8194ba50967	redlukas	N	seo|||organic|google||www	End Consumer	Others	CH	002	002007	002007001	002007001	Groom Tuxedos		185.92	2	2	185.92	185.92	185.92	
1463383194	97813387	N	2014/8/22	New Style White Men Wedding/Prom Groom Shirts Wear Bridegroom Man Shirt ( 37--46 ) D52	0	0	1	Y	ff80808124e7bdbe0124e83e679f195a	wholesalers888	N	N	ff8080813fc1dec9013fd8194ba50967	redlukas	N	seo|||organic|google||www	End Consumer	Others	CH	002	002007	002007002	002007002	Groom Shirts		23	1	1	23	23	23	
1463383207	177262374	N	2014/8/22	2014 Sexy Tarik Ediz A Line Tulle Crystal Cocktail Dresses/Evening Gowns/Prom Dresses With Sweetheart Neckline Floor Length	0	0	1	Y	ff80808131f610450132132bae8d09a4	yateweddingdress	N	N	ff80808147e819da0147f9ceabdb10e2	edenexisr	Y	bm|177262374|002009-SpecialOccasionDresses|GMC|Adwords|pla|yateweddingdress|US|002009002-PromDresses|c|OSHNBM|0HRF||www	End Consumer	Others	US	002	002009	002009002	002009002	Prom Dresses	bm|177262374|002009-SpecialOccasionDresses|GMC|Adwords|pla|yateweddingdress|US|002009002-PromDresses|c|OSHNBM|0HRF||www	129	1	1	129	129	129	
1463383252	180243050	N	2014/8/23	Zuhair Murad Vintage Lace Winter Bodycon Sheath Bridal Wedding Dress Gown With Long Sleeves W2201	0	0	1	Y	ff80808131adf2d30131bdc533c924fb	store005	N	N	ff80808147e819bf0147f9d0e7511107	brittro	Y	seo|||organic|google|https|www	End Consumer	Others	CA	002	002001	002001003	002001003	Sheath Wedding Dresses	seo|||organic|google|https|www	173.25	1	1	173.25	173.25	173.25	
1463383279	199519681	Y	2014/8/22	2014 Newest Nice Fashion Prom Dresses bead voile Blue Ombre Stunning Quinceanera Ball Gown Dress	0	0	1	Y	ff808081405d71960140b1395e896d93	allurebridals	N	N	ff8080813e4f072a013e795c324e086d	fabianbrittoncouture	N		Purchase for company	铜牌	ZA	002	002009	002009008	002009008	Quinceanera Dresses		170.69	1	1	170.69	170.69	170.69	
1463383306	191313667	Y	2014/8/22	Hot ! Vestido De Noiva Elegant High Neck Long Sleeves Beaded Lace Ball Gown Tulle Muslim Wedding Dresses 2014 Spring Wedding Gowns	0	0	0	Y	ff8080813f5c956d013f603987c90519	aijiayi	N	N	ff80808147a0684f0147da126f5963af	klabot37	Y	bm|00 DHgate e PS AW|23678861952|paid_search|adwords|dh.gate|00 DHgate PS AW|HC|c|Exact|	End Consumer	Others	HR	002	002001	002001001	002001001	A-Line Wedding Dresses	bm|00 DHgate e PS AW|23678861952|paid_search|adwords|dh.gate|00 DHgate PS AW|HC|c|Exact|	169.32	1	1	169.32	169.32	169.32	
1463383628	180430632	N	2014/8/22	sexy modest A lline strapless court train satin beaded corset Wedding Dresses gowns	0	0	0	Y	ff80808143574d76014398c9327b39a1	w2033	N	N	ff8080812ec86291012efe4e0dff7745	Suzy	N		End Consumer	Others	HU	002	002001	002001001	002001001	A-Line Wedding Dresses	seo|||organic|google|https|www	128	1	1	59	128	59	
1463383628	180431977	N	2014/8/22	2014 Hot Selling Beads Crystals Cap Sleeves Sexy V-neck Coral Prom Dresses 64358M	0	0	0	Y	ff80808143574d76014398c9327b39a1	w2033	N	N	ff8080812ec86291012efe4e0dff7745	Suzy	N		End Consumer	Others	HU	002	002001	002001001	002001001	A-Line Wedding Dresses	seo|||organic|google|https|www	128	1	1	69	128	69	
1463383635	171280907	N	2014/8/22	2014 New Style High Neck Mermaid Wedding Dresses Bridal Gowns Dresses for Chapel Wedding Bride Vintage Lace Court Train Charming Cheap Satin	0	0	1	Y	ff8080812eb8a311012ebd3401d041eb	sweet-life	N	N	ff8080813d3a2b41013d40aacd211fe1	bombos	N	seo|||organic|google|cheap mermaid wedding dressses	Purchase for company	Others	UK	002	002001	002001004	002001004	Mermaid Wedding Dresses		168	1	1	168	168	168	
1463383703	186932840	Y	2014/8/22	2014 New Collection A-Line Court Train Zipper Back Graduation Gown Cocktail Homecoming Dresses With Sweetheart Neckline and Sequins Bead Top	0	0	1	Y	ff8080812d3be05e012d4eabb0f65c1c	sweetlife1	N	N	ff808081316a5f4101317718ddc16a43	HRCabrio99	N	bm|18020000 Feather Hair Wholesale E PS MAC|717566159|paid_search|adcenter|wholesale feather hair extensions|18020000 Feather Hair PS MAC|WX||	End Consumer	Others	US	002	002009	002009009	002009009	Graduation Dresses	bm|186932840|002009-SpecialOccasionDresses|GMC|Adwords|pla|sweetlife1|US|002009009-GraduationDresses|c||0HRF||www	99	1	1	99	99	99	
1463383829	172825030	N	2014/8/22	2014 Bling Bling Cathedral Train Free Veil Sweetheart Appliques Rhinestones A-Line Wedding Dresses Gowns Sequins Bridal Bride DressesGowns	0	0	1	Y	ff80808132a53f700132b960d49864f4	orient2012	N	N	ff8080814710ead20147375e6f536162	florencialv77	N		4	Others	ES	002	002001	002001001	002001001	A-Line Wedding Dresses	bm|00 DHgate e PS AW|23678861952|paid_search|adwords|dhgate|00 DHgate PS AW|HC|c|Exact|	167.4	1	1	167.4	167.4	167.4	
